,State,District,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
182,Haryana,Rewari,900332,889133,5713,701,1804,202,1525,12,1242
183,Haryana,Gurgaon,1514432,1408801,70842,9725,15097,944,7451,254,1318
184,Haryana,Mewat ,1089263,221846,862647,1235,592,516,1453,4,970
185,Haryana,Faridabad,1809733,1588407,161680,9743,34572,640,4883,249,9559
186,Haryana,Palwal ,1042708,826342,208566,932,3971,345,915,20,1617
187,Himachal Pradesh,Chamba,519080,479782,32455,1559,2745,1740,57,14,728
188,Himachal Pradesh,Kangra,1510075,1461140,19797,3023,8929,14511,194,208,2273
189,Himachal Pradesh,Lahul & Spiti,31564,11649,74,212,35,19572,3,1,18
190,Himachal Pradesh,Kullu,437903,415669,2974,1568,1396,15377,94,83,742
191,Himachal Pradesh,Mandi,999777,981412,9460,876,4081,2628,43,86,1191
192,Himachal Pradesh,Hamirpur,454768,449412,3711,243,591,95,293,9,414
193,Himachal Pradesh,Una,521173,480138,14275,390,26009,56,70,10,225
194,Himachal Pradesh,Bilaspur,381956,371973,6984,236,2387,113,10,7,246
195,Himachal Pradesh,Solan,580320,548579,14678,1452,13926,574,591,110,410
196,Himachal Pradesh,Sirmaur,529855,476830,33215,577,15501,2645,236,86,765
197,Himachal Pradesh,Shimla,814010,791449,11810,2025,4047,3262,185,197,1035
198,Himachal Pradesh,Kinnaur,84121,64732,448,485,249,18086,29,45,47
199,Jammu and Kashmir,Kupwara,870354,37128,823286,1700,5600,66,39,13,2522
200,Jammu and Kashmir,Badgam,753745,10110,736054,1489,5559,47,6,2,478
201,Jammu and Kashmir,Leh(Ladakh),133487,22882,19057,658,1092,88635,103,54,1006
202,Jammu and Kashmir,Kargil,140802,10341,108239,604,1171,20126,28,4,289
203,Jammu and Kashmir,Punch,476835,32604,431279,958,11188,83,10,2,711
204,Jammu and Kashmir,Rajouri,642415,221880,402879,983,15513,189,26,3,942
205,Jammu and Kashmir,Kathua,616435,540063,64234,1828,9551,24,16,2,717
206,Jammu and Kashmir,Baramula,1008039,30621,959185,1497,14770,140,29,7,1790
207,Jammu and Kashmir,Bandipore,392232,8439,382006,572,555,44,17,2,597
208,Jammu and Kashmir,Srinagar,1236829,42540,1177342,2746,12187,285,74,2,1653
209,Jammu and Kashmir,Ganderbal,297446,5592,290581,406,486,25,8,4,344
210,Jammu and Kashmir,Pulwama,560440,13840,535159,1109,9440,35,6,18,833
211,Jammu and Kashmir,Shupiyan,266215,3116,262263,429,178,6,1,6,216
212,Jammu and Kashmir,Anantnag,1078692,13180,1057005,1449,6140,55,7,7,849
213,Jammu and Kashmir,Kulgam,424483,4267,418076,460,1035,27,25,9,584
214,Jammu and Kashmir,Doda,409936,187621,220614,472,422,21,22,42,722
215,Jammu and Kashmir,Ramban,283713,81026,200516,414,753,43,3,252,706
216,Jammu and Kashmir,Kishtwar,230696,93931,133225,277,450,2094,3,514,202
217,Jammu and Kashmir,Udhampur,554985,489044,59771,1962,3418,106,57,235,392
218,Jammu and Kashmir,Reasi,314667,153898,156275,1208,3107,15,7,3,154
219,Jammu and Kashmir,Jammu,1529958,1289240,107489,12104,114272,470,1987,321,4075
220,Jammu and Kashmir,Samba,318898,275311,22950,2306,17961,48,16,6,300
221,Jharkhand,Garhwa ,1322784,1104475,194680,17168,123,371,20,4591,1356
222,Jharkhand,Chatra,1042886,903179,116710,6565,888,35,129,12936,2444
223,Jharkhand,Kodarma,716259,605138,107018,1221,944,32,980,269,657
224,Jharkhand,Giridih,2445474,1856202,508586,14645,937,650,1503,59218,3733
225,Jharkhand,Deoghar,1492073,1165140,302626,6027,143,188,282,16067,1600
226,Jharkhand,Godda,1313551,937126,289182,37795,97,128,115,47067,2041
227,Jharkhand,Sahibganj,1150567,628044,398243,83208,198,245,125,38426,2078
228,Jharkhand,Pakur,900422,410127,322963,75865,356,283,222,88760,1846
229,Jharkhand,Dhanbad,2684487,2149480,431762,11243,9727,331,1268,77182,3494
230,Jharkhand,Bokaro,2062330,1636460,241451,13730,4174,1890,2045,160524,2056
231,Jharkhand,Lohardaga,461790,112378,95012,16770,51,33,15,235987,1544
232,Jharkhand,Purbi Singhbhum,2293919,1550178,203999,30172,38544,892,1670,465367,3097
233,Jharkhand,Palamu,1939869,1683169,238295,6164,734,188,284,5681,5354
234,Jharkhand,Latehar,726978,473049,69808,47653,120,128,16,133525,2679
235,Jharkhand,Hazaribagh,1734495,1397227,281247,17137,1312,71,1676,34154,1671
236,Jharkhand,Ramgarh,949443,774251,129037,7260,5093,69,537,32378,818
237,Jharkhand,Dumka,1321442,1044726,106865,86404,234,267,162,78622,4162
238,Jharkhand,Jamtara,791042,550560,164406,4419,520,118,783,68564,1672
239,Jharkhand,Ranchi,2914253,1612239,410759,193974,4826,932,2733,677445,11345
240,Jharkhand,Khunti,531885,138863,13122,136438,69,245,148,241292,1708
241,Jharkhand,Gumla,1025213,309563,51429,202449,221,531,23,457468,3529
242,Jharkhand,Simdega,599578,201524,15103,306601,51,753,114,73930,1502
243,Jharkhand,Pashchimi Singhbhum,1502338,423937,38103,87587,946,389,52,945864,5460
244,Jharkhand,Saraikela-Kharsawan,1065056,709016,63588,8113,1114,187,72,280469,2497
245,Karnataka,Belgaum,4779661,4038331,528412,18418,2037,1086,178310,149,12918
246,Karnataka,Bagalkot ,1889752,1634229,219991,3433,443,412,25198,166,5880
247,Karnataka,Bijapur,2177331,1786830,369588,2433,558,374,8665,499,8384
248,Karnataka,Bidar,1703300,1289709,335184,35438,1145,30453,680,521,10170
249,Karnataka,Raichur,1928812,1634062,272022,10394,538,2265,4156,29,5346
250,Karnataka,Koppal,1389920,1218024,161770,4081,296,85,2898,461,2305
251,Karnataka,Gadag,1064570,907750,143665,3432,231,79,5993,74,3346
252,Karnataka,Dharwad,1847023,1390020,386834,28747,1486,715,29037,2748,7436
253,Karnataka,Uttara Kannada,1437169,1187306,187974,44530,305,12804,3624,64,562
254,Karnataka,Haveri,1597668,1281878,297927,2406,419,68,9834,702,4434
255,Karnataka,Bellary,2452595,2103633,320834,14014,1029,284,8044,54,4703
256,Karnataka,Chitradurga,1659456,1520553,128751,3175,322,84,3778,128,2665
257,Karnataka,Davanagere,1945497,1658465,265805,5420,307,164,6417,1743,7176
258,Karnataka,Shimoga,1752753,1479424,234664,26521,400,120,9234,367,2023
259,Karnataka,Udupi,1177361,1009179,96740,65838,232,161,4534,155,522
260,Karnataka,Chikmagalur,1137961,1004553,101235,26000,182,109,4710,4,1168
261,Karnataka,Tumkur,2678980,2413812,245923,9130,477,187,5067,161,4223
262,Karnataka,Bangalore,9621551,7725070,1248294,504863,13254,5531,83090,498,40951
263,Karnataka,Mandya,1805769,1712695,77801,8506,322,299,3607,109,2430
264,Karnataka,Hassan,1776421,1630814,120011,15611,289,623,5820,3,3250
265,Karnataka,Dakshina Kannada,2089649,1403854,501896,171398,525,445,10397,138,996
266,Karnataka,Kodagu,554519,448986,87274,17130,139,126,250,220,394
267,Karnataka,Mysore,3001127,2631985,290549,39361,1255,16194,14419,493,6871
268,Karnataka,Chamarajanagar,1020791,942071,47210,22183,136,4872,761,140,3418
269,Karnataka,Gulbarga,2566326,2011014,513125,8344,826,9589,4865,330,18233
270,Karnataka,Yadgir,1174271,997974,155340,8677,331,7970,1519,996,1464
271,Karnataka,Kolar,1536401,1305431,199873,26722,253,150,2494,92,1386
272,Karnataka,Chikkaballapura,1255104,1100131,147810,4684,264,85,975,77,1078
273,Karnataka,Bangalore Rural,990923,890429,92252,5368,389,272,1045,85,1083
274,Karnataka,Ramanagara,1082636,959260,114311,6390,383,104,859,57,1272
275,Kerala,Kasaragod,1307375,729987,486913,87454,151,362,130,152,2226
276,Kerala,Kannur,2523003,1509592,742483,262526,424,1118,193,722,5945
277,Kerala,Wayanad,817420,404460,234185,174453,61,312,1797,286,1866
278,Kerala,Kozhikode,3086293,1734958,1211131,131516,297,235,601,588,6967
279,Kerala,Malappuram,4112920,1135259,2888849,81556,205,179,68,579,6225
280,Kerala,Palakkad,2809934,1875980,812936,114397,220,238,78,400,5685
281,Kerala,Thrissur,3121200,1823442,532839,757484,259,278,62,585,6251
282,Kerala,Ernakulam,3282388,1509557,514397,1248137,860,614,1176,1083,6564
283,Kerala,Idukki ,1108974,541854,82206,481507,100,189,44,384,2690
284,Kerala,Kottayam,1974551,983598,126499,858608,204,358,83,565,4636
285,Kerala,Alappuzha,2127789,1460447,224545,435056,268,146,74,311,6942
286,Kerala,Pathanamthitta,1197412,681666,55074,456404,153,150,44,262,3659
287,Kerala,Kollam,2635375,1697635,508500,421598,208,272,63,619,6480
288,Kerala,Thiruvananthapuram,3301427,2194057,452915,630573,404,301,76,1082,22019
289,Lakshadweep,Lakshadweep,64473,1788,62268,317,8,10,11,7,64
290,Madhya Pradesh,Sheopur ,687861,638702,41396,230,6387,201,379,40,526
291,Madhya Pradesh,Morena,1965970,1875495,76159,1092,557,3234,6681,92,2660
292,Madhya Pradesh,Bhind,1703005,1595400,66776,973,4047,12215,19950,73,3571
293,Madhya Pradesh,Gwalior,2032036,1835299,141735,4119,24790,4361,18058,217,3457
294,Madhya Pradesh,Datia,786754,747693,28483,683,490,7923,453,10,1019
295,Madhya Pradesh,Shivpuri,1726050,1648749,51200,1117,7151,3421,12171,72,2169
296,Madhya Pradesh,Tikamgarh,1445166,1383475,44143,588,251,109,15569,39,992
297,Madhya Pradesh,Chhatarpur,1762375,1676918,70351,1980,968,250,10409,102,1397
298,Madhya Pradesh,Panna,1016520,974748,35214,418,186,37,4734,218,965
299,Madhya Pradesh,Sagar,2378458,2198297,103480,5580,4146,991,62992,168,2804
300,Madhya Pradesh,Damoh,1264219,1186420,47966,1681,1096,119,25005,82,1850
301,Madhya Pradesh,Satna,2228935,2158623,59471,2228,1163,364,3135,1689,2262
302,Madhya Pradesh,Rewa,2365106,2268838,85414,1964,832,986,655,232,6185
303,Madhya Pradesh,Umaria,644758,620515,15966,667,190,70,220,6028,1102
304,Madhya Pradesh,Neemuch ,826067,741288,67324,1508,1110,224,14165,115,333
305,Madhya Pradesh,Mandsaur,1340411,1192588,125548,1120,849,242,19029,77,958
306,Madhya Pradesh,Ratlam,1455069,1267043,151071,3996,1353,175,29353,123,1955
307,Madhya Pradesh,Ujjain,1986864,1718204,233133,4659,3241,945,24622,211,1849
308,Madhya Pradesh,Shajapur,1512681,1321003,174724,815,631,179,13755,66,1508
309,Madhya Pradesh,Dewas,1563715,1376591,174259,2355,2330,382,6497,72,1229
310,Madhya Pradesh,Dhar,2185793,2051219,116202,2261,1607,328,12199,88,1889
311,Madhya Pradesh,Indore,3276697,2728225,415142,18523,25696,11496,71667,720,5228
312,Madhya Pradesh,Khargone (West Nimar),1873046,1725441,135085,2075,2896,284,6028,89,1148
313,Madhya Pradesh,Barwani ,1385881,1318869,58222,2967,2361,416,2289,263,494
314,Madhya Pradesh,Rajgarh,1545814,1433879,106928,1243,460,121,1599,50,1534
315,Madhya Pradesh,Vidisha,1458875,1287391,149548,1313,914,295,18490,70,854
316,Madhya Pradesh,Bhopal,2371061,1755861,525434,23432,10789,21688,25950,335,7572
317,Madhya Pradesh,Sehore,1311332,1163607,137980,1404,640,357,6232,66,1046
318,Madhya Pradesh,Raisen,1331597,1195235,120331,1725,2262,253,10637,190,964
319,Madhya Pradesh,Betul,1575362,1505745,37590,3271,1078,9651,3759,13048,1220
320,Madhya Pradesh,Harda ,570465,527462,38640,683,676,93,1573,55,1283
321,Madhya Pradesh,Hoshangabad,1241350,1175203,52269,4453,3127,1550,3888,107,753
322,Madhya Pradesh,Katni ,1292042,1240650,37232,3158,1167,157,5342,2643,1693
323,Madhya Pradesh,Jabalpur,2463289,2159065,203652,23142,13256,4320,33728,21010,5116
324,Madhya Pradesh,Narsimhapur,1091854,1038628,39048,914,997,262,8125,2873,1007
325,Madhya Pradesh,Dindori ,704524,605435,6736,4238,260,61,687,84006,3101
326,Madhya Pradesh,Mandla,1054905,849518,16558,12450,436,297,1789,170533,3324
327,Madhya Pradesh,Chhindwara,2090922,1923920,100692,4893,2258,24471,7830,25771,1087
328,Madhya Pradesh,Seoni,1379131,1145052,79739,1857,360,7288,4982,135315,4538
329,Madhya Pradesh,Balaghat,1701698,1519384,38542,5295,1050,72162,4778,58064,2423
330,Madhya Pradesh,Guna,1241519,1172248,49203,1208,3271,529,13474,52,1534
331,Madhya Pradesh,Ashoknagar,845071,778214,40707,635,8009,1352,15094,27,1033
332,Madhya Pradesh,Shahdol,1066063,997073,42426,2372,912,268,1737,19448,1827
333,Madhya Pradesh,Anuppur,749237,686524,21473,2132,606,86,1653,35434,1329
334,Madhya Pradesh,Sidhi,1127033,1077545,34419,511,128,92,93,12556,1689
335,Madhya Pradesh,Singrauli,1178273,1118998,46574,2332,1422,338,182,6139,2288
336,Madhya Pradesh,Jhabua,1025048,960925,15733,38423,141,65,8871,388,502
